username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"colinblevins;2013-04-28 19:00;0;0;""I slept from 12 to 8 and I still don't want to get up"";Ellicott City"," MD;;;""328690213461323776"";https://twitter.com/colinblevins/status/328690213461323776",,,,,,,,
"TheRealPope10;2013-04-28 19:00;0;0;""I don't think any couple has a relationship like ours @cld82511"";Lansdowne-Baltimore Highlands"," MD;@cld82511;;""328690212312055808"";https://twitter.com/TheRealPope10/status/328690212312055808",,,,,,,,
"_gbabyyyy;2013-04-28 19:00;0;0;""Always sleeping on someone floor lol"";Garrison"," MD;;;""328690200752570369"";https://twitter.com/_gbabyyyy/status/328690200752570369",,,,,,,,
"Tyfrenzy_;2013-04-28 19:00;1;0;""Cam got all the bitches"";Lochearn"," MD;;;""328690196038168576"";https://twitter.com/Tyfrenzy_/status/328690196038168576",,,,,,,,
"So_Icy_Shach;2013-04-28 19:00;0;0;""#Free my nigga @LilReese300 #3hunna"";Baltimore"," MD;@LilReese300;#Free #3hunna;""328690170335481857"";https://twitter.com/So_Icy_Shach/status/328690170335481857",,,,,,,,
"Tiffi3ma3;2013-04-28 19:00;0;0;""@K3llabis a drink at dinner. Ooohh call the cops she had a dd a drink a drink on her 21st birthday. Big fuckin woop."";Bowleys Quarters"," MD;@K3llabis;;""328690153012998144"";https://twitter.com/Tiffi3ma3/status/328690153012998144",,,,,,,,
"Ima_Bartender44;2013-04-28 19:00;0;0;""@Blummybear oh My!!!"";Baltimore"," MD;@Blummybear;;""328690143802302464"";https://twitter.com/Ima_Bartender44/status/328690143802302464",,,,,,,,
"ZachGosser;2013-04-28 19:00;0;0;""@RickyyRozayyy I know I seen your post he gotta stop I never got addicted so I know hes not"";Dundalk"," MD;@RickyyRozayyy;;""328690106414284800"";https://twitter.com/ZachGosser/status/328690106414284800",,,,,,,,
"dpassen1;2013-04-28 18:59;0;0;""So that's how Runaway Jury ends. #madmen"";Baltimore"," MD;;#madmen;""328690088408125441"";https://twitter.com/dpassen1/status/328690088408125441",,,,,,,,
"no__lies__;2013-04-28 18:59;0;0;""@MadsenAlexa #OhUs"";Catonsville"," MD;@MadsenAlexa;#OhUs;""328690056200069120"";https://twitter.com/no__lies__/status/328690056200069120",,,,,,,,
"Tyfrenzy_;2013-04-28 18:59;0;0;""@_trillaxxcam"";Lochearn"," MD;@_trillaxxcam;;""328690030778404864"";https://twitter.com/Tyfrenzy_/status/328690030778404864",,,,,,,,
"_gbabyyyy;2013-04-28 18:59;0;0;""Still in Baltimore"";Garrison"," MD;;;""328690002798194692"";https://twitter.com/_gbabyyyy/status/328690002798194692",,,,,,,,
"colinblevins;2013-04-28 18:59;0;1;""@_GayleGeh ""and what?"" *gayles face*"";Ellicott City"," MD;@_GayleGeh;;""328690000944320514"";https://twitter.com/colinblevins/status/328690000944320514",,,,,,,,
"sdfnjdskfhsd;2013-04-28 18:59;0;0;""@Casey_XoXo I told her mornings and nights. This week she just gave me all nights this week"";Baltimore"," MD;@Casey_XoXo;;""328689975266791425"";https://twitter.com/sdfnjdskfhsd/status/328689975266791425",,,,,,,,
"Dr_Kingsley;2013-04-28 18:59;0;0;""@heytheredalicia lol you're on timeout young lady"";Towson"," MD;@heytheredalicia;;""328689972439838720"";https://twitter.com/Dr_Kingsley/status/328689972439838720",,,,,,,,
"Tyfrenzy_;2013-04-28 18:59;0;0;""Kyasia akways retweeting shit"";Lochearn"," MD;;;""328689935324422144"";https://twitter.com/Tyfrenzy_/status/328689935324422144",,,,,,,,
"FrankenFert;2013-04-28 18:59;0;0;""#Np Start me up"";Baltimore"," MD;;#Np;""328689913711190016"";https://twitter.com/FrankenFert/status/328689913711190016",,,,,,,,
"Shavonne191920;2013-04-28 18:59;0;0;""Two pretty pouts @GameOfThrones"";Baltimore"," MD;@GameOfThrones;;""328689874976768001"";https://twitter.com/Shavonne191920/status/328689874976768001",,,,,,,,
"NYgotthejuice_;2013-04-28 18:59;0;0;""I Really Think Im Going Crazy . Like Sick In The Head Crazy . I Fucking Hate Humans I Swear"";Rosedale"," MD;;;""328689868953751554"";https://twitter.com/NYgotthejuice_/status/328689868953751554",,,,,,,,
"TangyCANTDance_;2013-04-28 18:59;0;0;""@Reachin_4_Starz Lls ok"";Baltimore"," MD;@Reachin_4_Starz;;""328689863241125889"";https://twitter.com/TangyCANTDance_/status/328689863241125889",,,,,,,,
"Tyfrenzy_;2013-04-28 18:59;1;0;""@_trillaxxcam"";Lochearn"," MD;@_trillaxxcam;;""328689849244717057"";https://twitter.com/Tyfrenzy_/status/328689849244717057",,,,,,,,
"QueenDysheki;2013-04-28 18:59;0;0;""@michellevisage werk!"";Baltimore"," MD;@michellevisage;;""328689844463226881"";https://twitter.com/QueenDysheki/status/328689844463226881",,,,,,,,
"FrankenFert;2013-04-28 18:58;1;0;""I don't take club promoters seriously at all"";Baltimore"," MD;;;""328689815518330880"";https://twitter.com/FrankenFert/status/328689815518330880",,,,,,,,
"carinanickole;2013-04-28 18:58;0;0;""Thank god I ate a lot at my grandmothers since I won't be eating dinner #storyofmylife"";Savage-Guilford"," MD;;#storyofmylife;""328689811844124672"";https://twitter.com/carinanickole/status/328689811844124672",,,,,,,,
"m_brackkk;2013-04-28 18:58;0;6;""Miss everything bout her"";Lake Shore"," MD;;;""328689793766658048"";https://twitter.com/m_brackkk/status/328689793766658048",,,,,,,,
"LAMB_orghiniii;2013-04-28 18:58;0;0;""@YM_CNB you're going to be sick your entire life!"";Dundalk"," MD;@YM_CNB;;""328689790671257601"";https://twitter.com/LAMB_orghiniii/status/328689790671257601",,,,,,,,
"scharf97;2013-04-28 18:58;0;0;""@Here4DaBeer @danputz @manyadvofmother @alehousecol Book it! :)"";Elkridge"," MD;@Here4DaBeer @danputz @manyadvofmother @alehousecol;;""328689779384385537"";https://twitter.com/scharf97/status/328689779384385537",,,,,,,,
"_lilxhk;2013-04-28 18:58;0;0;""Am I seeing things?"";Owings Mills"," MD;;;""328689778553921537"";https://twitter.com/_lilxhk/status/328689778553921537",,,,,,,,
"kurt_daisley;2013-04-28 18:58;0;0;""@dtbcsoccer23 goals on goals on goals shordy"";Baltimore"," MD;@dtbcsoccer23;;""328689769112543232"";https://twitter.com/kurt_daisley/status/328689769112543232",,,,,,,,
"Tyler_Grammer;2013-04-28 18:58;4;0;""Music > Everything Else"";Edgemere"," MD;;;""328689759692144641"";https://twitter.com/Tyler_Grammer/status/328689759692144641",,,,,,,,
"Tyfrenzy_;2013-04-28 18:58;0;0;""@_trillaxxcam chill just take it easy bro"";Lochearn"," MD;@_trillaxxcam;;""328689743091093504"";https://twitter.com/Tyfrenzy_/status/328689743091093504",,,,,,,,
"FirasMaad;2013-04-28 18:58;0;0;""Attached is a historical graph that shows the correlation between the performance of hedge funds and the S&P 500. pic.twitter.com/XOzAffgngR"";Baltimore"," MD;;;""328689737521037314"";https://twitter.com/FirasMaad/status/328689737521037314",,,,,,,,
"_gbabyyyy;2013-04-28 18:58;0;0;""BOGUTTTT"";Garrison"," MD;;;""328689734626988032"";https://twitter.com/_gbabyyyy/status/328689734626988032",,,,,,,,
"hn_nortonn;2013-04-28 18:58;0;0;""Goood ol' court in the morning."";Reisterstown"," MD;;;""328689697268310016"";https://twitter.com/hn_nortonn/status/328689697268310016",,,,,,,,
"FrankenFert;2013-04-28 18:58;0;0;""Lol the irony â€œ @JerGucci : I'm tired of ignorant people in generalâ€ù"";Baltimore"," MD;@JerGucci;;""328689695066304513"";https://twitter.com/FrankenFert/status/328689695066304513",,,,,,,,
"ConnorGwin;2013-04-28 18:58;0;0;""@therealjuiicy_a funny"";Maryland"," USA;@therealjuiicy_a;;""328689653819514880"";https://twitter.com/ConnorGwin/status/328689653819514880",,,,,,,,
"jrizzy_jake;2013-04-28 18:58;0;0;""Well it's official. Dwight Howard is useless."";Rosedale"," MD;;;""328689643295997952"";https://twitter.com/jrizzy_jake/status/328689643295997952",,,,,,,,
"StefGarcia8;2013-04-28 18:58;2;0;""12.28.12 âˆ_"";Baltimore"," MD;;;""328689629257691136"";https://twitter.com/StefGarcia8/status/328689629257691136",,,,,,,,
"RageingBigRed;2013-04-28 18:58;0;0;""Be real with me or just leave me alone real shit dont fuck with me"";Baltimore"," MD;;;""328689608059658240"";https://twitter.com/RageingBigRed/status/328689608059658240",,,,,,,,
"Tyfrenzy_;2013-04-28 18:58;0;0;""My name is RUDY"";Lochearn"," MD;;;""328689593811623936"";https://twitter.com/Tyfrenzy_/status/328689593811623936",,,,,,,,
"no__lies__;2013-04-28 18:58;0;0;""@MadsenAlexa :)"";Catonsville"," MD;@MadsenAlexa;;""328689593564164096"";https://twitter.com/no__lies__/status/328689593564164096",,,,,,,,
