username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jaimelouise86;2011-08-08 15:28;0;0;"“ @kierandelbridge : Is riots starting it bristol ? #londonriots ” I bloody hope not!!! Maybe knowle west lol";City of Bristol, England;@kierandelbridge;#londonriots;"100694840286773248";https://twitter.com/jaimelouise86/status/100694840286773248
deanonorman;2011-08-08 15:25;0;0;"Riotin started in bristol city centre apparently #getalife";City of Bristol, England;;#getalife;"100694159068897280";https://twitter.com/deanonorman/status/100694159068897280
ReactorJim;2011-08-08 15:15;0;0;"So the riots are kicking off in Bristol #seriouslyWTF I say give the police the right to use lethal force an kill them all";City of Bristol, England;;#seriouslyWTF;"100691645762256896";https://twitter.com/ReactorJim/status/100691645762256896
ReactorJim;2011-08-08 15:14;0;0;"@Lithium_007 @mo1eyuk well apparently it's kicking off in Bristol now FFS kill them all I say #wankers";City of Bristol, England;@Lithium_007 @mo1eyuk;#wankers;"100691450349633536";https://twitter.com/ReactorJim/status/100691450349633536
matthilde;2011-08-08 15:11;0;0;"RT: @4lex_D Bristol starts and the rest of the country follow. #londonriots #birminghamriots";City of Bristol, England;@4lex_D;#londonriots #birminghamriots;"100690675561013249";https://twitter.com/matthilde/status/100690675561013249
Packer991;2011-08-08 15:03;0;0;"@quirkyyy hopefully! But you got idiots who think that Bristol is like London. People just want an excuse to run wild.";City of Bristol, England;@quirkyyy;;"100688581399560193";https://twitter.com/Packer991/status/100688581399560193
VixenSnow86;2011-08-08 15:02;0;0;"Bloomin' hell! There are currently unconfirmed reports that there's rioting here Bristol :/ I hope to god they ate false reports";City of Bristol, England;;;"100688305372401664";https://twitter.com/VixenSnow86/status/100688305372401664
jaimelouise86;2011-08-08 14:56;0;0;"“ @djshandy : about bristol riots. come on, bristol doesn't even get out of bed on a monday” haha";City of Bristol, England;@djshandy;;"100686903480823809";https://twitter.com/jaimelouise86/status/100686903480823809
angeline_chong;2011-08-08 14:54;0;0;"I'm at Hobbs Hairdressers (50 Park Row, Bristol ) http://4sq.com/pRUnSu";;;;"100686356799438848";https://twitter.com/angeline_chong/status/100686356799438848
GemaAppleheadJ;2011-08-08 14:52;0;0;"@quirkyyy @neiljirving24 also M32 going into bristol quiet, when the stokes croft riots were happening it was manic - will update if hear x";City of Bristol, England;@quirkyyy @neiljirving24;;"100685793697337344";https://twitter.com/GemaAppleheadJ/status/100685793697337344
paskalis;2011-08-08 14:45;0;0;"I'm at Bristol Airport (BRS) (North Side Rd., Bristol ) http://4sq.com/ptYAd5";;;;"100683969581944832";https://twitter.com/paskalis/status/100683969581944832
BristolBites;2011-08-08 14:43;0;0;"@mawambam Hehe....Gooner! Season ticket holder last 2 seasons, but couldn't justify 6% increase & trains now I'm in Bristol ! :(";City of Bristol, England;@mawambam;;"100683518136434688";https://twitter.com/BristolBites/status/100683518136434688
Cla7moi;2011-08-08 14:34;0;0;"I'm at Bistro at Hotel du Vin (Narrow Lewins Mead (the Sugar House), Bristol ) http://4sq.com/oov22O";City of Bristol, England;;;"100681291594350592";https://twitter.com/Cla7moi/status/100681291594350592
paskalis;2011-08-08 14:19;0;0;"Driving to Bristol Airport p3 fun part - LIVE at http://bambuser.com/v/1884615";North Somerset, England;;;"100677468331053056";https://twitter.com/paskalis/status/100677468331053056
kimyt11;2011-08-08 14:09;0;0;"Weston, Birmingham and now Bristol .";City of Bristol, England;;;"100674957956227072";https://twitter.com/kimyt11/status/100674957956227072
paskalis;2011-08-08 13:56;0;0;"Driving to Bristol Airport p2 - LIVE at http://bambuser.com/v/1884566";Monmouthshire, Wales;;;"100671654648217602";https://twitter.com/paskalis/status/100671654648217602
join_the_dots;2011-08-08 13:29;0;0;"@DrDogbert I might call this wrongly but not sure Bristol will. We only get upset if someone builds a tesco express!";City of Bristol, England;@DrDogbert;;"100664847653552128";https://twitter.com/join_the_dots/status/100664847653552128
Packer991;2011-08-08 13:28;0;0;"Kicking off in Bristol ?!";City of Bristol, England;;;"100664700555104256";https://twitter.com/Packer991/status/100664700555104256
mancalledaaron;2011-08-08 11:57;0;0;"#Wagamama here in #Bristol has served me the worst bowl of noodles that I've ever tasted. Don't waste your money here.";City of Bristol, England;;#Wagamama #Bristol;"100641733062307840";https://twitter.com/mancalledaaron/status/100641733062307840
peterholt99;2011-08-08 11:54;0;0;"Brilliant #bristol #harbourfestival video http://www. youtube.com/watch?v=Wwb69k MniAQ&amp;sns=tw … #lovebristol";City of Bristol, England;;#bristol #harbourfestival #lovebristol;"100640988007116801";https://twitter.com/peterholt99/status/100640988007116801
ToM_BaL;2011-08-08 10:26;0;0;"EasyJet Airbus A319 departing Bristol http://flic.kr/p/abb2q1";North Somerset, England;;;"100618973871226880";https://twitter.com/ToM_BaL/status/100618973871226880
oliward;2011-08-08 10:25;0;0;"#jeffbigissue for Bristol Olympic torch bearer.";City of Bristol, England;;#jeffbigissue;"100618620941516801";https://twitter.com/oliward/status/100618620941516801
VouchAR_Bristol;2011-08-08 10:23;0;0;"Spa Day with Two Treatments Plus Full Use of Spa Facilities For One (£45) Or Two (£79) at The... http://vchr.me/1u5 #Bristol";City of Bristol, England;;#Bristol;"100618050885263360";https://twitter.com/VouchAR_Bristol/status/100618050885263360
AamirWani;2011-08-08 09:46;0;1;"Hope this rioting doesn't reach bristol . Hope people in St. Pauls are busy with their PS3s and not watching sky or BBC #LondonRiots #Hackney";City of Bristol, England;;#LondonRiots #Hackney;"100608822720217088";https://twitter.com/AamirWani/status/100608822720217088
RennyC;2011-08-08 09:46;0;0;"I'm at The Full Moon ( Bristol ) http://4sq.com/qih1Uw";City of Bristol, England;;;"100608709461417984";https://twitter.com/RennyC/status/100608709461417984
jobsukcom;2011-08-08 09:42;0;0;"Debenhams - Bristol - Stock Movement Assistant - PT 30 & 20 Hrs - Bristol #ukjobs http://tinyurl.com/4ybtbfe";City of Bristol, England;;#ukjobs;"100607741437026304";https://twitter.com/jobsukcom/status/100607741437026304
skddc;2011-08-08 09:38;0;0;"See you in a few weeks, Bristol . (@Bristol Airport (BRS) w/ 2 others) http://4sq.com/qmGqcc";;@Bristol;;"100606885073399808";https://twitter.com/skddc/status/100606885073399808
DREAMlNGinPINK;2011-08-08 09:17;0;0;"I'm at Asda (East St, Bristol ) http://4sq.com/pAiRx6";City of Bristol, England;;;"100601466661769217";https://twitter.com/DREAMlNGinPINK/status/100601466661769217
mancalledaaron;2011-08-08 08:21;0;0;"There is magic in #Bristol http:// yfrog.com/gydqqtgj";City of Bristol, England;;#Bristol;"100587473909985280";https://twitter.com/mancalledaaron/status/100587473909985280
ToM_BaL;2011-08-08 08:10;0;0;"Thomsonfly Boeing 757departing Bristol http://flic.kr/p/abb3fW";North Somerset, England;;;"100584665911525376";https://twitter.com/ToM_BaL/status/100584665911525376
bathmarketing;2011-08-08 07:49;0;0;"I'm at Hotel24Seven ( Bristol ) http://4sq.com/qf7LCY";City of Bristol, England;;;"100579410100486144";https://twitter.com/bathmarketing/status/100579410100486144
mattyribbo;2011-08-08 05:30;0;0;"I'm at Core 24 (University of the West of England, Coldharbour Lan, Bristol ) http://4sq.com/q1Adi7";South Gloucestershire, England;;;"100544333207441408";https://twitter.com/mattyribbo/status/100544333207441408
