username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PeterThiele;2011-10-03 03:50;0;0;"@MFskyblurr your protest is now being funded by George Soros a Hedge Fund Billionaire. You are a tool! #OccupyWallStreet";;@MFskyblurr;#OccupyWallStreet;"120812869754425344";https://twitter.com/PeterThiele/status/120812869754425344
PeterThiele;2011-10-03 03:49;0;0;"@Sadad789 your protest is now being funded by George Soros a Hedge Fund Billionaire. You are a tool! #OccupyWallStreet";;@Sadad789;#OccupyWallStreet;"120812704637255680";https://twitter.com/PeterThiele/status/120812704637255680
PeterThiele;2011-10-03 03:49;0;0;"@SuzannTW your protest is now being funded by George Soros a Hedge Fund Billionaire. You are a tool! #OccupyWallStreet";;@SuzannTW;#OccupyWallStreet;"120812598169055233";https://twitter.com/PeterThiele/status/120812598169055233
PeterThiele;2011-10-03 03:48;0;0;"@Machinomics your protest is now being funded by George Soros a Hedge Fund Billionaire. You are a tool! #OccupyWallStreet";;@Machinomics;#OccupyWallStreet;"120812419466530817";https://twitter.com/PeterThiele/status/120812419466530817
PeterThiele;2011-10-03 03:47;0;0;"@Creative1Mind your protest is now being funded by George Soros a Hedge Fund Billionaire. You are a tool!";;@Creative1Mind;;"120812285664047104";https://twitter.com/PeterThiele/status/120812285664047104
topix_insight;2011-10-03 00:25;0;0;"Downtown L.A. becomes a stage for protest and performance art - http:// bit.ly/mTiG91 #downtown #LosAngeles #California";;;#downtown #LosAngeles #California;"120761408030912513";https://twitter.com/topix_insight/status/120761408030912513
DoctorSpinPR;2011-10-03 00:15;1;0;"Spinn's #PR Links: The finest ' Occupy Wall Street' posters we’ve seen http:// dlvr.it/p4WTQ";;;#PR;"120758921337114624";https://twitter.com/DoctorSpinPR/status/120758921337114624
JordanJohnna;2011-10-02 20:56;0;0;"Pics from today's protest @OccupyWallSt #occupywallstreet http:// yfrog.com/h8vmfctj";;@OccupyWallSt;#occupywallstreet;"120708825836826624";https://twitter.com/JordanJohnna/status/120708825836826624
Kate5pinoz;2011-10-02 20:29;0;0;"Profits before people http:// bloom.bg/pbcrFy @Occupy _Boston @OccupyChicago @OccupyWallStNYC";;@Occupy @OccupyChicago @OccupyWallStNYC;;"120702076601905152";https://twitter.com/Kate5pinoz/status/120702076601905152
topix_ny;2011-10-02 19:23;0;0;"700 arrested after protest on NY's Brooklyn Bridge - http:// bit.ly/qq0jdj #Brooklyn #NewYork";;;#Brooklyn #NewYork;"120685487232000000";https://twitter.com/topix_ny/status/120685487232000000
teresatothemax;2011-10-02 18:57;0;0;"Dumpster diving and drum circles. More power to you, occupy wall st protestors, but I can't fuck with that.";;;;"120678840237428737";https://twitter.com/teresatothemax/status/120678840237428737
freestyleeart;2011-10-02 18:25;0;0;"They cannot stop the 99%, Occupy Wall Street http:// flic.kr/p/asiNSV";;;;"120670707368726528";https://twitter.com/freestyleeart/status/120670707368726528
Doobybrain;2011-10-02 18:18;0;0;"Occupy Wall Street loses everyone. Look at these demands. -_- https:// occupywallst.org/forum/proposed -list-of-demands-for-occupy-wall-st-moveme/ …";;;;"120668973170827264";https://twitter.com/Doobybrain/status/120668973170827264
nina_anne;2011-10-02 17:48;0;0;"Occupy wall st! (@Liberty Place) http:// 4sq.com/nHTJEN";;@Liberty;;"120661390217330688";https://twitter.com/nina_anne/status/120661390217330688
ashalan;2011-10-02 17:34;0;0;"LET THEM PROTEST RT @HuffPostBlog : Let Wall Street beware a risen people http:// huff.to/o5t5RX #occupywallstreet";;@HuffPostBlog;#occupywallstreet;"120658037454290944";https://twitter.com/ashalan/status/120658037454290944
RoyStanfield;2011-10-02 17:10;0;0;". @ad_infinitum wow, love those protests. Will go down next weekend, but stuck working this. Seems that's the difference with this protest …";;@ad_infinitum;;"120651928974786560";https://twitter.com/RoyStanfield/status/120651928974786560
Ridgewoodblog;2011-10-02 17:08;0;0;"Occupy Wall Street Protesters Call For Totalitarian Government, Re-Election Of Obama: Occupy Wall Street Protest ... http:// bit.ly/q7Dtfn";;;;"120651472005373952";https://twitter.com/Ridgewoodblog/status/120651472005373952
MegRobertson;2011-10-02 17:07;3;0;"Joe Stiglitz in a Q&A at Occupy Wall Street today. @Zucotti Park http:// instagr.am/p/O76vG/";;@Zucotti;;"120651072854429697";https://twitter.com/MegRobertson/status/120651072854429697
taisnyc;2011-10-02 14:52;0;0;"Occupy Wall Street #occupy http:// flic.kr/p/asixBk";;;#occupy;"120617083405996034";https://twitter.com/taisnyc/status/120617083405996034
taisnyc;2011-10-02 14:46;0;0;"Occupy Wall Street #occupy http:// flic.kr/p/asihH2";;;#occupy;"120615540300587008";https://twitter.com/taisnyc/status/120615540300587008
taisnyc;2011-10-02 14:45;0;0;"Occupy Wall Street #occupy http:// flic.kr/p/asihH8";;;#occupy;"120615471413342208";https://twitter.com/taisnyc/status/120615471413342208
taisnyc;2011-10-02 14:42;0;0;"Occupy Wall Street #occupy http:// flic.kr/p/asihHt";;;#occupy;"120614663309365250";https://twitter.com/taisnyc/status/120614663309365250
Jewyorican;2011-10-02 13:20;5;0;"Follow @Occupy __PR because PR has been occupied by the wrong people for too long! #OccupyPuertoRico";;@Occupy;#OccupyPuertoRico;"120593972879048704";https://twitter.com/Jewyorican/status/120593972879048704
wagrella;2011-10-02 12:24;0;0;"I'm at Occupy Wall Street! (11 Wall Street, New York) w/ 4 others http:// 4sq.com/nkevra";;;;"120579978399203329";https://twitter.com/wagrella/status/120579978399203329
catherin;2011-10-02 12:21;0;0;"Rise up! (@Occupy Wall Street! w/ 4 others) [pic]: http:// 4sq.com/ojHI5y";;@Occupy;;"120579231771136001";https://twitter.com/catherin/status/120579231771136001
Jewyorican;2011-10-02 10:31;0;0;"@IvanJavier @occupy __pr thanks!!";;@IvanJavier @occupy;;"120551434843467777";https://twitter.com/Jewyorican/status/120551434843467777
ShanteParadigm;2011-10-02 10:24;0;0;"#Charlotte , what's going on with the protest ? I'll be back in NC Monday night. #OccupyTogether";;;#Charlotte #OccupyTogether;"120549852865236992";https://twitter.com/ShanteParadigm/status/120549852865236992
