username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"terryschriber1;2014-08-11 05:45;0;0;""THE TSUNAMI THAT HIT THAT ISLAND 10yrz AGO SWEPT THAT GIRL AWAY AN AFTER 10yrs SHE WAS REUNITED WITH HER BROTHER!!! THATZ A MOVIE PEPZ!!!"";Illinois"," USA;;;""498812476348440576"";https://twitter.com/terryschriber1/status/498812476348440576",,,,,,,,
"flatpickluvr1;2014-08-11 05:45;0;0;""@BabalooBlue Yes"," I'm fine. I live about 7 miles south of the devastated area. And it has been devastated."";Sappington"," MO;@BabalooBlue;;""498812400707985408"";https://twitter.com/flatpickluvr1/status/498812400707985408",,,,,,,
"carls9396;2014-08-11 05:44;0;0;""I will go running today. I will go running today. I will go running today."";St Louis"," MO;;;""498812299403337729"";https://twitter.com/carls9396/status/498812299403337729",,,,,,,,
"MrAntike184;2014-08-11 05:44;0;0;""@Alexa_AP08 wanna RP?"";Granite City"," IL;@Alexa_AP08;;""498812259230294017"";https://twitter.com/MrAntike184/status/498812259230294017",,,,,,,,
"83_rico;2014-08-11 05:44;0;0;""My teacher looks slow"";Missouri"," USA;;;""498812194830569473"";https://twitter.com/83_rico/status/498812194830569473",,,,,,,,
"BillionNeeded;2014-08-11 05:44;0;0;""@byefeIicia follow baxk"";Maryland Heights"," MO;@byefeIicia;;""498812148869386240"";https://twitter.com/BillionNeeded/status/498812148869386240",,,,,,,,
"dearinterwebs;2014-08-11 05:44;0;1;""""And I must say tonight a riot is the language of the unheard.""-MLK //We still have so much to learn from this man's speeches 46 years later"";Webster Groves"," MO;;;""498812143525838850"";https://twitter.com/dearinterwebs/status/498812143525838850",,,,,,,,
"Kennedis_Mommy1;2014-08-11 05:44;0;0;""Stay classy Ferguson."";St Charles"," MO;;;""498812142934425600"";https://twitter.com/Kennedis_Mommy1/status/498812142934425600",,,,,,,,
"_tessalynnb;2014-08-11 05:44;0;0;""eff Mondays"";St Louis"," MO;;;""498812129336496129"";https://twitter.com/_tessalynnb/status/498812129336496129",,,,,,,,
"paulthornton094;2014-08-11 05:44;0;1;""I wish happiness was permanent #Ferguson"";Overland"," MO;;#Ferguson;""498812106519879680"";https://twitter.com/paulthornton094/status/498812106519879680",,,,,,,,
"kirkwardmusic;2014-08-11 05:43;0;1;""Taking kids to first day of school."";St Louis"," MO;;;""498812032070610944"";https://twitter.com/kirkwardmusic/status/498812032070610944",,,,,,,,
"leisazigman;2014-08-11 05:43;7;3;""#Ferguson mayor-wrong officers name is being linked 2 shooting #irresponsible social media @ksdknews"";Clayton"," MO;@ksdknews;#Ferguson #irresponsible;""498811887099076608"";https://twitter.com/leisazigman/status/498811887099076608",,,,,,,,
"mccartneywealth;2014-08-11 05:43;1;0;""""Calpers Rethinks Its Risky #Investments - #WSJ "" #investing #calpers #privateequity #hedgefunds http:// feedly.com/k/1oCxORt"";Des Peres"," MO;;#Investments #WSJ #investing #calpers #privateequity #hedgefunds;""498811849538674688"";https://twitter.com/mccartneywealth/status/498811849538674688",,,,,,,,
"niknack7;2014-08-11 05:43;0;1;""I've got myself a date tonight"";St Peters"," MO;;;""498811845818339329"";https://twitter.com/niknack7/status/498811845818339329",,,,,,,,
"gpburian;2014-08-11 05:42;1;3;""â€œ @iside1965 : @Sherilyn1HwyLdy @niknodder @manxmnews @GizmoandSugar @Paw_Luv @niknodder pic.twitter.com/yJBdMkWd1G â€ù Awesome Day!!"";Creve Coeur"," MO;@iside1965 @Sherilyn1HwyLdy @niknodder @manxmnews @GizmoandSugar @Paw_Luv @niknodder;;""498811700330893312"";https://twitter.com/gpburian/status/498811700330893312",,,,,,,,
"diamondbdrunk;2014-08-11 05:42;0;2;""pic.twitter.com/rtREVYZ20i â€ù @RodgerVielweber"";Des Peres"," MO;@RodgerVielweber;;""498811652641284096"";https://twitter.com/diamondbdrunk/status/498811652641284096",,,,,,,,
"maryschlessgage;2014-08-11 05:42;0;0;""I'm at @AmerinetInc in Saint Louis"," MO https://www. swarmapp.com/maryschless/ch eckin/53e8ba21498ee8ec215415e4?s=X6D8LvHD0QuAXtgDGqulTSSHdII&ref=tw â€_"";Creve Coeur"," MO;@AmerinetInc;;""498811607607418881"";https://twitter.com/maryschlessgage/status/498811607607418881",,,,,,,
"thomasewalter;2014-08-11 05:41;0;0;""And the uneducated shall lead."";Illinois"," USA;;;""498811561491066880"";https://twitter.com/thomasewalter/status/498811561491066880",,,,,,,,
